  200    4000
   90      26     334
   33      18     495
   89      78     409
   44     111      30
  107      41     290
  156      91     271
  190     179     298
   59     132     192
  165     167     109
  132      27      45
  166      67     471
  127      15     454
   26     117     355
   33     164     215
  153     120     134
  130     150     180
   46      42     110
  140     148      37
   93      58      86
  101     100     326
   40      16     232
  130      69      93
  137       5      92
   54     140     310
  200      10      66
    3     174     245
   93      74     332
   89     103     113
   66     128     475
   83      34     192
   48      73     339
  142     153       2
   50     165      17
  111     112       2
    2      37     404
   27     137     437
   49      40     487
  171     171     144
  172     144     116
   34     168     481
  143      89     146
   60     139     330
  197      71     297
   29     161     189
   26      30     200
  145     124     431
  118     152     280
   48      18      27
   46       6     390
   86     173     185
   56     115     143
  111      18     454
   21     156     237
  148      13     398
  117      46      36
   33      69     441
  169      15      68
  170      65     354
  109     180     315
   12     188     160
  104      73     212
  168       8     127
   66      72      12
  138     192     167
  192      79     148
  189     179     353
   54     166     389
   76     121     120
  139     111     187
   94      72     338
   20      66     115
   62      82     304
  141     112     463
  169     191     445
  172     164     475
   35      88     105
   67      21     167
  114     182     350
  179     107     328
    9     179     196
  175      91     271
   13      25      34
  195       1     138
  175      68     118
  154     173     302
  100     100      11
  159     183     225
  165       7     391
  185       5     169
  171      67     178
   82      10     150
  116      19     385
  188     102     326
  105      29     423
   24     117     193
   79     104     201
   42     126     200
  153      68      69
   45      88      36
    1      65     359
   89      89      74
   66      25     120
  117     152     407
   32       3      11
  157     147     369
   67     150     471
   84     192     358
   74     188      33
   39     165      75
  122      91     354
  192       1      11
   79     191     369
    9     107     176
  118      93      67
  108     133     447
  118     176     234
  175      28      66
   51     117     239
   86      25      51
  163      92     221
  144     163     408
    5     141     108
  187      19       9
  192      66     136
  109     166     246
   79      80      85
   98     177     473
   67     200      80
   58       4     477
  118     115      62
  102     108     426
   73      23     438
  187     155     477
    1      30     373
  168     172      93
   80      65     338
  145     146     475
  115      96     452
  125      21     472
   34      13      34
  165     155     264
  187     139     444
  188      81      49
  128      56      84
  148      69     290
  187      52     162
   91     103      86
  156      63     187
  188      32     118
   31     173     203
  179      36     393
   51      58     306
   30      74     194
  160     126      38
    1      40       9
  130      59     194
   29       1     384
   73      50       1
   79      12     236
   15     168     401
  182     145     114
    9      31     208
   58      10       9
  187      13     110
  193     151     476
   82      17     454
  157     188      99
   14      14     371
  119      30     183
  160     198      56
   54     185     219
   35       3     142
   13      73      24
  133     141     324
   88     156     187
   45     149     496
   80     162     432
   27     123     425
   74      15     212
  137     137     400
  177      82     493
   75      87      67
   61     144     157
   29     123     446
   83     193     266
  109      79     214
  100      17     136
  144      53     109
  155     199     403
   80     186     299
  111     110     122
  147     167     147
   16      83     116
   44      48      79
  105      17     182
    8     170     167
   43     132      98
   29      47     335
   83      25     111
  194      64      88
   49      22      69
   34     168     415
   96      37     405
  188     191     428
  191     118      52
   46      82     349
  123     162     459
  158     182     382
   53     136      23
  198     181     125
  182      84     155
  132     198     229
   31     129     444
   20      33     343
  141     172      38
   40     173      26
  103      80     197
  179      72     385
  187     174     252
  179      88     440
  127     169     379
   91      41     490
   51      22      27
  199     103     118
  118      92      14
  158      47     370
  106     171     177
  120     126      99
  146      10      51
  131      19      32
  195       3      31
   51     177     281
   61      50     202
   58      69      88
  139     104      16
  103     199     164
   11      11      71
   24       9     117
  110     131     159
   43     179     101
  171     154      11
   77     144     422
  146      40     120
   15       7     303
  108      77     207
  140      91     283
   43     170     256
   78       2     317
  178      95     158
   82      24     423
   70     111     392
  107      36     208
   33     142     105
   34      95     292
  107      93     139
   19     151     270
  106     180     208
  175     124      11
   85      86     439
   43      97     172
  116      82     333
  179      90     104
   92     138     129
   99      48     164
  109      11      90
   39      46      64
   69      28     370
   82     173     127
   65     159     247
  131     106      34
  113      55     101
   83      36     437
  194      37     479
   63      84     476
  187     153     220
  112      42      21
   81     118     197
  114       7     486
   70      16      19
  141      81     175
  157      39     386
   19      72     163
   55     139     267
  159     185     175
   97     135     357
  109     195     303
  166     195     438
   30     159     180
   19      57     200
  168      22      88
   35     123      14
  152     195     349
   10      67     314
   37     191     157
   87      70     123
   96      84      39
  200     136     464
    1      27     491
  145     159       1
   22      15      96
  113     186     428
  165      87      89
   11      85     395
   47      57     258
   43      19      75
   76      18      70
   68      72     241
   16     177     483
   95      61     314
   87     154     366
   47     151      96
   78      18     112
  174      79     448
  109     135     103
   75      51     427
   65     119     372
   87      83      90
   85     189     400
  101      32     124
  137     119       7
  121     173     320
  200     134     118
  148     122     360
   89     188     403
   93     166     386
    2     144     373
   44       6      27
   11     199      93
  166      97     497
  193     187     481
   85      26      44
  115      23     319
   27     140     447
   32      62      82
  100       7     404
  175     186     285
   60     131     280
   21      50     453
   75      61     309
   14      74      26
  164     137     407
    9     175     341
  141     174     277
  113     197     225
  159     119     281
   56      45     433
   69      15     363
   15     110      68
   76      74      13
   33      22     271
   63     164     457
  156     128      68
  100      79     196
  119      36      44
   79      99     107
   52      68     269
   35     137     122
