  500    5000
  239      36     461
    1     469     363
   18     198     176
  500     481     249
  362     340     115
   55     402     116
  211      32     348
   74     494     144
  406      33     332
  472     432     381
   48      89     328
  116     218      54
  361     169     343
   78     105     201
  490     358     475
  338     365     439
  310      15     396
  452     382     310
   99     408     165
  165     200     414
  438     192     114
  388      91     283
  234     487     466
  423     412     206
  367     389     390
   33      25     148
  494     250     323
   64     494     328
   42     380     403
   36      48     385
   16     127     280
  330      19     279
  238     349      38
  183     438     365
  186      57      72
  494     246     329
  257     322     163
  364     368     178
  217     183     473
  197     380     484
  208     421     136
   32     344      80
   89     139     488
  412     199     102
  378     141      84
   96     359     454
  144     173     107
  345      15     278
    1     116     442
  326     136     105
   33     161     227
  190     413     243
   52     292     372
  199      88     313
  130     374     421
  198     353     124
  319      76     154
   72     272     200
   53       4     396
  149     238     160
  120     433     268
  299     128      56
  238     360     237
  152     176     403
  115      44     168
  448     370      75
  336     498      82
  171     157     206
  260     185     487
  496     287     465
   89     108     180
  322     155     372
  124     469     258
  141     380     110
  103     348      79
   77     133     161
  137     129     426
   78     347      25
   25     226     342
   71     493     297
   33     439     449
  376     407     352
    9      96     415
  236     229      57
  310     357     100
  425     422      58
   60     330       5
  379     417     454
  162     403     349
  324     222      86
  255     290     500
  336     148     195
  313      21     130
  414     115     173
  268      79     349
   97     404      68
  360     369     334
  412     291     253
  449      53     274
  478     116     247
  448     186      15
  318     174     287
  195     285     243
  277     213     278
  384     318      59
   63     119      59
   65     209     155
  383      45     377
  158     300      43
   60     238      38
  134     478      77
  385     290      39
  447     253     120
  161     440     241
   41     365     306
  370     409     127
  412     167     185
  417     221      67
  268      31     238
  450     466      75
   56     379      26
  310     448     439
  227     372       9
  323     295      64
  272     416       2
  322     208     247
  366     290     408
  306     285     107
  295     345     192
    8      53     321
   68     334     429
  292     242     396
  339     396     390
  398      74     429
  350     391     463
  202     120      28
  238      39     426
  182     394     138
   16     186     138
  190     481     172
   29     334      16
  119     300     196
  454     245     194
  199      40     161
  269      61     224
  253      86     190
    6     467     310
   47     199     461
  162     391     297
  228     248     200
  445     348     432
  439       6     256
  149     479     178
    9       6     355
  191     254     165
  203     471     439
  361     279     344
  466     244     140
  239     460     194
  231       2     239
  227     459     124
   19     118     126
  338     192     161
